m_rate_individual,m_rate_gene,crossover_size,avg_fit_score,std_fit_score,max_fit_score,min_fit_score,avg_gens
0.1,0.1,4.0,3.020877451046065,2.5281927113562044,12.020553710879012,0.027212908213360976,50.0
0.1,0.1,8.0,2.7357214417886486,2.0805878165419753,10.130691428288255,0.031512087577880266,50.0
0.1,0.1,12.0,2.5351889110148584,2.2002300622754887,9.804194621921734,0.00034885412417651196,50.0
0.1,0.3,4.0,2.096361836473366,1.7002986063594991,10.007252463361981,0.004945305044479653,50.0
0.1,0.3,8.0,1.4119308603391323,1.3916371232415983,9.36325043714236,0.0023557715008024616,50.0
0.1,0.3,12.0,1.471110493960849,1.690392443065654,8.887195064176248,0.0005148789840276891,50.0
0.1,0.5,4.0,1.5557633408662133,1.3117312985025462,5.463502608772117,3.546636826001759e-05,50.0
0.1,0.5,8.0,1.6257451012747546,1.8260565191007727,10.29778861729806,0.0006753391130587261,50.0
0.1,0.5,12.0,1.2619588609788637,1.271132761174608,6.302751745730202,4.093533776483582e-05,50.0
0.3,0.1,4.0,1.5292038783309838,1.4247894572015483,8.05570832292283,0.007173170249593852,50.0
0.3,0.1,8.0,1.4489415064725393,1.2734391763306254,7.724400075480418,0.00537557862878657,50.0
0.3,0.1,12.0,1.289996948497227,1.3201643325866417,9.248938389613619,1.4694358227984594e-06,50.0
0.3,0.3,4.0,0.7065731720178953,0.6581158497859251,2.834142205590176,0.00034940268880134795,50.0
0.3,0.3,8.0,0.5126549604095662,0.5775612690701112,2.7131041975604795,1.0191295423567226e-05,50.0
0.3,0.3,12.0,0.4179512381208583,0.5221796531801479,2.6176612390087115,1.5470035918951908e-08,50.0
0.3,0.5,4.0,0.5697309703548644,0.5933753184232611,2.874442361939792,8.111425593426702e-06,50.0
0.3,0.5,8.0,0.38175112125368954,0.49386259240083086,2.179636609159921,6.093905113857545e-08,50.0
0.3,0.5,12.0,0.3355943954365783,0.4837537804140923,2.983403912488953,1.4095534481839422e-06,50.0
0.5,0.1,4.0,1.043419284045656,1.1226220503623623,4.911773271023215,0.0023386612424047826,50.0
0.5,0.1,8.0,0.886559409526593,0.921256236045732,4.974795276432351,9.209303186707984e-08,50.0
0.5,0.1,12.0,0.9510731268787411,0.9951346224279034,4.107839677872297,3.6844818041004146e-07,50.0
0.5,0.3,4.0,0.3296919030343687,0.4667136861859724,2.6892789861640125,8.18845739516405e-05,50.0
0.5,0.3,8.0,0.26957613867025737,0.4781773135601038,2.1145791697698826,5.036272447966894e-07,50.0
0.5,0.3,12.0,0.15673762839997896,0.2784434834112467,1.0701567630405684,4.983731862751029e-07,50.0
0.5,0.5,4.0,0.1921363702375757,0.3410324672032709,1.7831877712209945,0.00027074677917582335,50.0
0.5,0.5,8.0,0.18096553741581345,0.31605797121092183,1.5125604151782355,2.8717224154206633e-09,50.0
0.5,0.5,12.0,0.11304502749984088,0.27517942785647187,1.9911620659109346,3.731190965083897e-07,50.0
